  10000	        12.9692	       326.7195	        25.1920	     18741.0816	   3453314.0221	       184.2644	        25.0000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs25.00_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	        12.7312	       339.2389	        26.6463	     19485.6420	   3807605.0930	       195.4057	        26.0000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs26.00_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	        14.3496	       391.8018	        27.3040	     20229.8196	   3976004.5151	       196.5418	        27.0000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs27.00_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	        13.9728	       379.8137	        27.1824	     20963.1972	   4577159.8543	       218.3426	        28.0000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs28.00_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.5600	         0.5136	         0.9171	       749.1816	      6402.0126	         8.5453	         1.0000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.00_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.5928	         0.6318	         1.0658	       822.3956	      7450.1959	         9.0591	         1.1000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.10_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.6560	         0.7929	         1.2086	       900.1928	      8918.2892	         9.9071	         1.2000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.20_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.6664	         0.8255	         1.2388	       974.4008	     10439.1410	        10.7134	         1.3000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.30_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.7232	         1.0682	         1.4770	      1050.3904	     11793.0404	        11.2273	         1.4000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.40_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.7928	         1.0931	         1.3787	      1126.9208	     14266.6049	        12.6598	         1.5000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.50_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.8788	         1.3921	         1.5841	      1204.0476	     15185.8221	        12.6123	         1.6000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.60_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.9056	         1.5615	         1.7243	      1278.8584	     17836.6839	        13.9473	         1.7000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.70_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.9684	         1.8482	         1.9085	      1346.3156	     19277.1624	        14.3185	         1.8000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.80_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.9988	         1.7372	         1.7393	      1426.3276	     22048.9459	        15.4585	         1.9000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs1.90_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
  10000	         0.9852	         1.9474	         1.9766	      1496.4524	     23361.4989	        15.6113	         2.0000	conditional_geometric	CP010000_mbd-conditional_geometric_mbs2.00_kb1.0_um2.0_kp15.0_up0.01_T0001000_FS1000
